Date,Time,Animal_ID,Use,D_forbs,Vegetation.cover,Vegetation.biomass,Heap.dung,Escape.impediment,Micro.habitat.type,Time_day,Season,NDVI,dNDVI,daily_rain,protection_gradient,proximity_confluence,Proximity_road,Proximity_drainage,Proximity_river,Proximity_multiplePAs,Proximity_CorePAs_edge,Elevation,slope,TWI,Curvature,Proximity_fence,Tourism_footprint,Human_footprint,woody_density,UTM_x,UTM_y
6/2/2019,8:30,El_6661,0,3.375,5,0.000209176,8,0,Short grassland,Day,Dry,3.443083286,-0.03061682,0,22.60906051,6.45470887,11.57917124,0.815189258,31.6871785,3.152957025,3.152957025,1644.99292,0.07627998,15.92452717,-2.00E-06,150935.5938,0.01901604,0.027104001,-0.199866888,706370.4031,9665526.048
6/2/2019,8:30,El_6661,0,2.9375,12.5,9.30E-05,3,0,Short grassland,Day,Dry,3.630016387,-0.03305953,0,23.16446969,6.813407085,11.92567038,0.272303692,32.09277721,2.926961172,2.926961172,1643.946655,0.104942908,13.56290913,-1.00E-06,151270,0.0189898,0.027104001,-0.089148838,706606.4024,9664813.046
6/2/2019,8:30,El_6661,0,2.5625,1.25,6.83E-05,5,0,Short grassland,Day,Dry,3.774685144,-0.030177921,0,22.15511699,8.015696017,10.64248751,0.93129027,30.84724955,4.3195987,4.3195987,1648.967407,0.295820026,13.32819843,0,152393,0.01945831,0.027104001,0.284977608,705218.3998,9664472.048
5/8/2019,16:30,El_6661,1,2.3125,0,9.30E-05,0,0,Short grassland,Day,Dry,4.769766822,-0.06880118,0,28.75000043,13.98062553,14.51090742,3.267389832,38.12651818,0.476729283,0.476729283,1677.619263,0.260471307,14.04826546,1.00E-06,159232.9063,0.01560586,0.034335364,-0.212872941,709195.3927,9655062.028
5/8/2019,16:30,El_6661,0,2.125,0,0.000836705,0,0,Short grassland,Day,Dry,4.947737075,-0.072144963,0,28.81409794,13.98708959,14.85334278,3.769939424,37.57002468,1.028645198,1.028645198,1677.619263,0.260471307,13.65033817,1.00E-06,159210.7969,0.01578523,0.034335364,-0.020000069,708641.3921,9655207.029
5/8/2019,16:30,El_6661,0,2.875,8.75,0.000836705,0,0,Short grassland,Day,Dry,4.907659166,-0.07176923,0,28.03156938,14.68951988,15.00528128,2.787990834,38.44428445,0.520531444,0.520531444,1676.521729,0.238491004,13.59541035,3.00E-06,159689.2031,0.015256,0.034335364,-0.02398188,709162.3916,9654340.027
5/8/2019,16:30,El_6661,0,5.1875,0,0.000371869,0,0,Short grassland,Day,Dry,5.138424352,-0.071004584,0,28.31792711,14.37295631,14.38317621,2.420971834,38.95652232,0.163016662,0.163016662,1672.681885,0.292659993,13.59541035,-1.00E-06,159384.2031,0.01534649,0.034335364,-0.242290549,709843.3929,9654515.026
5/8/2019,16:30,El_6661,0,2.8125,10,0.000209176,0,0,Short grassland,Day,Dry,4.869844288,-0.073914856,0,29.56249343,13.14991316,13.73651872,3.572671486,38.11154191,0.085099661,0.085099661,1674.583862,0.275174083,14.04826546,2.00E-06,158115.9063,0.01594161,0.034335364,-0.026896113,709576.3943,9655824.029
6/4/2019,16:30,El_6661,1,4.5,1.25,0.000133873,0,0,Short grassland,Day,Dry,2.978051558,-0.02599784,0,15.50337708,6.891340092,14.45858062,3.963411441,34.23607766,0.840198781,0.840198781,1646.715698,0.135259021,12.96797752,7.00E-06,138991.5,0.01992924,0.020524446,-0.110231855,710202.4251,9676849.06
6/4/2019,16:30,El_6661,0,5.75,1.25,0.000836705,5,0,Short grassland,Day,Dry,2.966945082,-0.02885972,0,15.6878125,7.042845475,14.79767227,3.945381277,34.00693253,0.516730042,0.516730042,1646.715698,0.135259021,12.79652405,7.00E-06,139107.2031,0.01943122,0.020524446,-0.139471194,709877.4247,9676956.061
6/4/2019,16:30,El_6661,0,2.125,2.5,0.000836705,0,0,Short grassland,Day,Dry,2.945248127,-0.028807044,0,16.02411464,6.392792301,14.44124579,4.537917619,34.52626179,0.603710491,0.603710491,1641.758423,0.314481509,12.79652405,1.00E-06,139550.4063,0.01998166,0.020524446,-0.376167989,709973.4239,9676313.06
6/4/2019,16:30,El_6661,0,0.75,7.5,0.000209176,7,0,Short grassland,Day,Dry,2.900827318,-0.022549495,0,15.29232919,6.585244795,13.88763418,4.144650659,34.68599337,1.342435752,1.342435752,1642.842651,0.142465213,12.96797752,1.00E-06,138983.0938,0.02048517,0.020524446,-0.116777248,710708.4255,9676584.059
6/4/2019,16:30,El_6661,0,1.875,12.5,4.13E-05,3,0,Short grassland,Day,Dry,2.936028242,-0.023165107,0,14.74617578,7.438834938,14.29041629,3.2966941,33.90722929,1.344398255,1.344398255,1641.091187,0.361357187,12.65900898,5.00E-06,138317.0938,0.01989139,0.020524446,0.22915105,710698.4267,9677438.061
6/5/2019,8:30,El_6661,1,3.3125,31.25,5.23E-05,2,0,Long grassland,Day,Dry,3.39516551,-0.017693318,7.730979443,11.55186275,9.651331062,0.883476746,0.415428776,23.12208323,15.99595089,15.99595089,1645.942993,0.308036876,13.21266937,-3.00E-06,118643.3984,0.01631064,0.017212668,1.488966653,716415.4644,9696788.085
6/5/2019,8:30,El_6661,0,3.6875,12,5.23E-05,1,0,Long grassland,Day,Dry,3.423540138,-0.015283994,7.730979443,11.79879401,9.336388919,1.120613762,0.442026898,22.78936113,15.93690516,15.93690516,1645.942993,0.308036876,13.21266937,-3.00E-06,118548,0.01644774,0.017212668,0.607639966,716086.464,9696882.086
6/5/2019,8:30,El_6661,0,3.5,11.25,5.23E-05,2,0,Long grassland,Day,Dry,3.417944714,-0.027117833,7.730979443,11.05945645,9.651447938,1.113712162,0.352455733,23.43378887,15.53485594,15.53485594,1643.029541,0.294880028,13.21266937,-5.00E-06,119079.7969,0.01635217,0.017212668,0.659662458,716463.4637,9696246.084
6/5/2019,8:30,El_6661,0,2.3125,16.25,9.30E-05,0,0,Long grassland,Day,Dry,3.164664119,-0.017078608,7.219995022,11.11285184,10.22062796,0.461459022,0.846575389,23.72487734,16.11170214,16.11170214,1650.000488,0.362548046,13.06719971,-1.00E-06,118278.5,0.01620114,0.017212668,0.796195445,717006.4652,9696610.084
6/5/2019,8:30,El_6661,0,1.4375,17.5,6.83E-05,0,0,Long grassland,Day,Dry,2.994313136,-0.017359093,7.219995022,11.80020174,10.18122431,0.219814053,1.114240733,23.27583532,16.67418247,16.67418247,1648.990234,0.276763455,15.07240486,-5.00E-06,117744.7031,0.01620364,0.017212668,0.938296512,716876.466,9697315.085
6/5/2019,0:30,El_6661,1,0.8125,2.5,4.59E-06,0,0,Long grassland,Night,Dry,2.792565204,-0.011706777,4.342986107,6.152071927,10.55216657,2.914892848,5.700795338,27.41683625,11.16735139,11.16735139,1648.03125,0.263286848,13.38691235,0,123784.6016,0.01746748,0.018016027,0.486651655,717165.4563,9690380.073
6/5/2019,0:30,El_6661,0,0.75,3.75,3.35E-05,3,0,Long grassland,Night,Dry,2.405249618,-0.012202911,4.342986107,5.718179605,11.4274552,2.049807027,5.890295356,27.85400691,11.96511995,11.96511995,1652.011353,0.23402854,13.38691235,2.00E-06,123217.2969,0.01741242,0.018016027,0.31821206,717985.4581,9690687.072
6/5/2019,0:30,El_6661,0,0.875,2.5,0.000133873,2,0,Long grassland,Night,Dry,2.80581741,-0.011777028,6.355887413,5.992080857,10.50166197,2.994871649,5.876598058,27.59079044,11.0319786,11.0319786,1648.997803,0.224294146,13.38691235,2.00E-06,124006.2969,0.01759217,0.018016027,0.281361129,717200.456,9690153.072
